date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:19	470/470	---M--	200	added ('OK')	application/octet-stream	etag:%225eb1075c-1d6%22	https://www.walleniuswilhelmsen.com/sites/default/favicon/site.webmanifest	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/sites/default/favicon/site.webmanifest	(from https://www.walleniuswilhelmsen.com/)
20:20:20	5314/5314	---M--	200	added ('OK')	image/svg+xml	etag:%225eb1075c-14c2%22	https://www.walleniuswilhelmsen.com/sites/default/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/sites/default/favicon/safari-pinned-tab.svg	(from https://www.walleniuswilhelmsen.com/)
20:20:21	44677/44677	---M-Z	200	added ('OK')	text/html	etag:%22686cdc4b-2afb%22	https://www.walleniuswilhelmsen.com/schedules	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/schedules.html	(from https://www.walleniuswilhelmsen.com/)
20:20:22	71719/71719	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2020:20:22%20GMT	https://www.walleniuswilhelmsen.com/track-trace	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/track-trace.html	(from https://www.walleniuswilhelmsen.com/)
20:20:24	313615/313615	---M-Z	200	added ('OK')	text/html	etag:%22689a4721-b300%22	https://www.walleniuswilhelmsen.com/who-we-are/investors	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are/investors.html	(from https://www.walleniuswilhelmsen.com/)
20:20:24	69924/69924	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2020:20:23%20GMT	https://www.walleniuswilhelmsen.com/search	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/search.html	(from https://www.walleniuswilhelmsen.com/)
20:20:25	79735/79735	---M-Z	200	added ('OK')	text/html	etag:%22689a4713-4d34%22	https://www.walleniuswilhelmsen.com/contact-us	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/contact-us.html	(from https://www.walleniuswilhelmsen.com/)
20:20:26	71487/71487	---M-Z	200	added ('OK')	text/html	etag:%22689a4731-48e9%22	https://www.walleniuswilhelmsen.com/rate-request	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/rate-request.html	(from https://www.walleniuswilhelmsen.com/)
20:20:27	81982/81982	---M-Z	200	added ('OK')	text/html	etag:%22689a4757-4fe8%22	https://www.walleniuswilhelmsen.com/what-we-do	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do.html	(from https://www.walleniuswilhelmsen.com/)
20:20:28	98462/98462	---M-Z	200	added ('OK')	text/html	etag:%22689a4758-5a3b%22	https://www.walleniuswilhelmsen.com/what-we-do/ocean-transportation	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/ocean-transportation.html	(from https://www.walleniuswilhelmsen.com/)
20:20:28	109123/109123	---M-Z	200	added ('OK')	text/html	etag:%22689a4759-60d1%22	https://www.walleniuswilhelmsen.com/what-we-do/vehicle-processing	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/vehicle-processing.html	(from https://www.walleniuswilhelmsen.com/)
20:20:28	114249/114249	---M-Z	200	added ('OK')	text/html	etag:%22689a4757-6246%22	https://www.walleniuswilhelmsen.com/what-we-do/equipment-processing	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/equipment-processing.html	(from https://www.walleniuswilhelmsen.com/)
20:20:29	93603/93603	---M-Z	200	added ('OK')	text/html	etag:%22689a4757-582c%22	https://www.walleniuswilhelmsen.com/what-we-do/inland-transportation	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/inland-transportation.html	(from https://www.walleniuswilhelmsen.com/)
20:20:29	87722/87722	---M-Z	200	added ('OK')	text/html	etag:%22689a4758-5549%22	https://www.walleniuswilhelmsen.com/what-we-do/supply-chain-management	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/supply-chain-management.html	(from https://www.walleniuswilhelmsen.com/)
20:20:30	95876/95876	---M-Z	200	added ('OK')	text/html	etag:%22689a4759-5818%22	https://www.walleniuswilhelmsen.com/what-we-do/terminal-services	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/what-we-do/terminal-services.html	(from https://www.walleniuswilhelmsen.com/)
20:20:31	88371/88371	---M-Z	200	added ('OK')	text/html	etag:%22689a4714-52b1%22	https://www.walleniuswilhelmsen.com/industries	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/industries.html	(from https://www.walleniuswilhelmsen.com/)
20:20:31	92411/92411	---M-Z	200	added ('OK')	text/html	etag:%22689a4e20-5381%22	https://www.walleniuswilhelmsen.com/news-and-insights	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news-and-insights.html	(from https://www.walleniuswilhelmsen.com/)
20:20:32	93823/93823	---M-Z	200	added ('OK')	text/html	etag:%22689a4720-54b7%22	https://www.walleniuswilhelmsen.com/news-and-insights/news	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news-and-insights/news.html	(from https://www.walleniuswilhelmsen.com/)
20:20:32	93510/93510	---M-Z	200	added ('OK')	text/html	etag:%22689a4e20-5434%22	https://www.walleniuswilhelmsen.com/news-and-insights/features	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news-and-insights/features.html	(from https://www.walleniuswilhelmsen.com/)
20:20:32	82789/82789	---M-Z	200	added ('OK')	text/html	etag:%22689a4722-52f8%22	https://www.walleniuswilhelmsen.com/news-and-insights/service-updates	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news-and-insights/service-updates.html	(from https://www.walleniuswilhelmsen.com/)
20:20:33	82120/82120	---M-Z	200	added ('OK')	text/html	etag:%22689a4759-4fa9%22	https://www.walleniuswilhelmsen.com/where-you-find-us	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/where-you-find-us.html	(from https://www.walleniuswilhelmsen.com/)
20:20:34	434776/434776	---M-Z	200	added ('OK')	text/html	etag:%22689a4735-9907%22	https://www.walleniuswilhelmsen.com/where-you-find-us/all-locations-list	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/where-you-find-us/all-locations-list.html	(from https://www.walleniuswilhelmsen.com/)
20:20:34	73843/73843	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2020:20:34%20GMT	https://www.walleniuswilhelmsen.com/location-search	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/location-search.html	(from https://www.walleniuswilhelmsen.com/)
20:20:34	73554/73554	---M-Z	200	added ('OK')	text/html	etag:%22689a4759-4b55%22	https://www.walleniuswilhelmsen.com/where-you-find-us/ports	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/where-you-find-us/ports.html	(from https://www.walleniuswilhelmsen.com/)
20:20:35	81059/81059	---M-Z	200	added ('OK')	text/html	etag:%22689a4010-4fbe%22	https://www.walleniuswilhelmsen.com/who-we-are	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are.html	(from https://www.walleniuswilhelmsen.com/)
20:20:36	83479/83479	---M-Z	200	added ('OK')	text/html	etag:%22689a4010-4f3b%22	https://www.walleniuswilhelmsen.com/who-we-are/management	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are/management.html	(from https://www.walleniuswilhelmsen.com/)
20:20:36	129868/129868	---M-Z	200	added ('OK')	text/html	etag:%22689a475b-6c4b%22	https://www.walleniuswilhelmsen.com/who-we-are/media	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are/media.html	(from https://www.walleniuswilhelmsen.com/)
20:20:37	117028/117028	---M-Z	200	added ('OK')	text/html	etag:%22689a475b-656b%22	https://www.walleniuswilhelmsen.com/who-we-are/sustainability	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are/sustainability.html	(from https://www.walleniuswilhelmsen.com/)
20:20:38	102582/102582	---M-Z	200	added ('OK')	text/html	etag:%22689a475a-5bf8%22	https://www.walleniuswilhelmsen.com/who-we-are/governance	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/who-we-are/governance.html	(from https://www.walleniuswilhelmsen.com/)
20:20:38	86582/86582	---M-Z	200	added ('OK')	text/html	etag:%22686cdd4d-5154%22	https://www.walleniuswilhelmsen.com/ocean-support	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/ocean-support.html	(from https://www.walleniuswilhelmsen.com/)
20:20:41	88040/88040	---MC-	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2020:20:41%20GMT	https://www.walleniuswilhelmsen.com/ocean-support/faq	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/ocean-support/faq.html	(from https://www.walleniuswilhelmsen.com/)
20:20:41	74781/74781	---M-Z	200	added ('OK')	text/html	etag:%22689a4e26-4b7a%22	https://www.walleniuswilhelmsen.com/ocean-support/tariffs	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/ocean-support/tariffs.html	(from https://www.walleniuswilhelmsen.com/)
20:20:42	136391/136391	---M-Z	200	added ('OK')	text/html	etag:%22689a4730-7630%22	https://www.walleniuswilhelmsen.com/ocean-support/bill-of-lading-and-seaway-bill-terms-conditions	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/ocean-support/bill-of-lading-and-seaway-bill-terms-conditions.html	(from https://www.walleniuswilhelmsen.com/)
20:20:42	139541/139541	---M-Z	200	added ('OK')	text/html	etag:%22689a4730-5622%22	https://www.walleniuswilhelmsen.com/ocean-support/customer-service	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/ocean-support/customer-service.html	(from https://www.walleniuswilhelmsen.com/)
20:20:43	100502/100502	---M-Z	200	added ('OK')	text/html	etag:%22689a4e20-5755%22	https://www.walleniuswilhelmsen.com/life-at-wallenius-wilhelmsen	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/life-at-wallenius-wilhelmsen.html	(from https://www.walleniuswilhelmsen.com/)
20:20:44	97080/97080	---M-Z	200	added ('OK')	text/html	etag:%22689a4e1e-5c39%22	https://www.walleniuswilhelmsen.com/insights/meet-our-experts-vivian-passos	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/insights/meet-our-experts-vivian-passos.html	(from https://www.walleniuswilhelmsen.com/)
20:20:44	101718/101718	---M-Z	200	added ('OK')	text/html	etag:%22689a471d-5f10%22	https://www.walleniuswilhelmsen.com/insights/supply-chain-101-what-exactly-is-an-equipment-processing-centre-epc	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/insights/supply-chain-101-what-exactly-is-an-equipment-processing-centre-epc.html	(from https://www.walleniuswilhelmsen.com/)
20:20:44	97230/97230	---M-Z	200	added ('OK')	text/html	etag:%22689a4011-5925%22	https://www.walleniuswilhelmsen.com/news/the-power-of-partnerships-wallenius-wilhelmsen-reduces-emissions-with-volvo-cars-and-polestar	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news/the-power-of-partnerships-wallenius-wilhelmsen-reduces-emissions-with-volvo-cars-and-polestar.html	(from https://www.walleniuswilhelmsen.com/)
20:20:45	95059/95059	---M-Z	200	added ('OK')	text/html	etag:%22689a4e26-584f%22	https://www.walleniuswilhelmsen.com/news/wallenius-wilhelmsen-adopts-tnfd-leap-framework-to-enhance-maritime-biodiversity-considerations	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/news/wallenius-wilhelmsen-adopts-tnfd-leap-framework-to-enhance-maritime-biodiversity-considerations.html	(from https://www.walleniuswilhelmsen.com/)
20:20:46	143158/143158	---M--	200	added ('OK')	image/jpeg	etag:%226891c680-22f36%22	https://www.walleniuswilhelmsen.com/imager/assets/1075134/Wallenius_01-1_2024-06-11-073752_rpig_34dd768cd07b4d96d6f1f79d46f706a8.jpg	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/imager/assets/1075134/Wallenius_01-1_2024-06-11-073752_rpig_34dd768cd07b4d96d6f1f79d46f706a8.jpg	(from https://www.walleniuswilhelmsen.com/)
20:20:47	976/976	---M-Z	200	added ('OK')	image/svg+xml	etag:%22686cdc20-228%22	https://www.walleniuswilhelmsen.com/build/images/ww-logosymbol-gray.ca14f716.svg	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/images/ww-logosymbol-gray.ca14f716.svg	(from https://www.walleniuswilhelmsen.com/)
20:20:48	37374/37374	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:19%20GMT	https://unpkg.com/htmx.org@1.7.0/dist/htmx.min.js	C:/My%20Web%20Sites/wwt/unpkg.com/htmx.org@1.7.0/dist/htmx.min.js	(from https://www.walleniuswilhelmsen.com/)
20:20:49	78863/78863	---M-Z	200	added ('OK')	text/html	etag:%22689a4756-504e%22	https://www.walleniuswilhelmsen.com/terms-of-use	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/terms-of-use.html	(from https://www.walleniuswilhelmsen.com/)
20:20:50	85306/85306	---M-Z	200	added ('OK')	text/html	etag:%22689a4713-5180%22	https://www.walleniuswilhelmsen.com/cookie-policy	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/cookie-policy.html	(from https://www.walleniuswilhelmsen.com/)
20:20:50	102508/102508	---M-Z	200	added ('OK')	text/html	etag:%22689a4731-5dc2%22	https://www.walleniuswilhelmsen.com/privacy-policy	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/privacy-policy.html	(from https://www.walleniuswilhelmsen.com/)
20:20:50	1720021/1720021	---M--	200	added ('OK')	image/png	etag:%226891c67c-1a3ed5%22	https://www.walleniuswilhelmsen.com/imager/assets/728426/nr3_34dd768cd07b4d96d6f1f79d46f706a8.PNG	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/imager/assets/728426/nr3_34dd768cd07b4d96d6f1f79d46f706a8.png	(from https://www.walleniuswilhelmsen.com/)
20:20:51	14660/14660	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-141e%22	https://www.walleniuswilhelmsen.com/build/loading-effects.2daa0268.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/loading-effects.2daa0268.js	(from https://www.walleniuswilhelmsen.com/)
20:20:51	2865/2865	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-3b6%22	https://www.walleniuswilhelmsen.com/build/menu.1f8a2a61.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/menu.1f8a2a61.js	(from https://www.walleniuswilhelmsen.com/)
20:20:52	372760/372760	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-1d6f4%22	https://www.walleniuswilhelmsen.com/build/app.b3975f4f.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/app.b3975f4f.js	(from https://www.walleniuswilhelmsen.com/)
20:20:52	128745/128745	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-8265%22	https://www.walleniuswilhelmsen.com/build/swiper.min.3471713b.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/swiper.min.3471713b.js	(from https://www.walleniuswilhelmsen.com/)
20:20:52	5888/5888	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-573%22	https://www.walleniuswilhelmsen.com/build/carousel.11f9608c.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/carousel.11f9608c.js	(from https://www.walleniuswilhelmsen.com/)
20:20:53	24914/24914	---M-Z	200	added ('OK')	application/javascript	etag:%22686cdc20-1dee%22	https://www.walleniuswilhelmsen.com/build/auto-video.7614a195.js	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/auto-video.7614a195.js	(from https://www.walleniuswilhelmsen.com/)
20:20:53	46006/46006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-b3b6%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.660dc05f.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.660dc05f.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:54	40636/40636	---M--	200	added ('OK')	application/octet-stream	etag:%22686cdc20-9ebc%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.43d0faf7.woff2	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.43d0faf7.woff2	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:54	57472/57472	---M--	200	added ('OK')	application/font-woff	etag:%22686cdc20-e080%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.91b8f9e3.woff	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.91b8f9e3.woff	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:55	139400/139400	---M-Z	200	added ('OK')	application/octet-stream	etag:%22686cdc20-e0a3%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.85eea595.ttf	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold_italic-webfont.85eea595.ttf	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:55	1828919/1828919	---M--	200	added ('OK')	image/png	etag:%226891c681-1be837%22	https://www.walleniuswilhelmsen.com/imager/assets/1075135/help_34dd768cd07b4d96d6f1f79d46f706a8.png	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/imager/assets/1075135/help_34dd768cd07b4d96d6f1f79d46f706a8.png	(from https://www.walleniuswilhelmsen.com/)
20:20:56	148766/148766	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-f04d%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.2e958c7b.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.2e958c7b.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:56	43684/43684	---M--	200	added ('OK')	application/octet-stream	etag:%22686cdc20-aaa4%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.07ac3b54.woff2	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.07ac3b54.woff2	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:56	61316/61316	---M--	200	added ('OK')	application/font-woff	etag:%22686cdc20-ef84%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.445b71a5.woff	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.445b71a5.woff	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:56	148544/148544	---M-Z	200	added ('OK')	application/octet-stream	etag:%22686cdc20-efe8%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.448021f4.ttf	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_italic-webfont.448021f4.ttf	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:57	46661/46661	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-b645%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.238aae26.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.238aae26.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:57	41112/41112	---M--	200	added ('OK')	application/octet-stream	etag:%22686cdc20-a098%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.99b18000.woff2	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.99b18000.woff2	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:58	58548/58548	---M--	200	added ('OK')	application/font-woff	etag:%22686cdc20-e4b4%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.41a9d514.woff	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.41a9d514.woff	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:58	142272/142272	---M-Z	200	added ('OK')	application/octet-stream	etag:%22686cdc20-e507%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.91f30364.ttf	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light_italic-webfont.91f30364.ttf	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:58	45713/45713	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-b291%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.a8548f55.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.a8548f55.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:58	40152/40152	---M--	200	added ('OK')	application/octet-stream	etag:%22686cdc20-9cd8%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.f048e5a6.woff2	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.f048e5a6.woff2	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:59	57312/57312	---M--	200	added ('OK')	application/font-woff	etag:%22686cdc20-dfe0%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.84dde7f1.woff	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.84dde7f1.woff	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:59	135088/135088	---M-Z	200	added ('OK')	application/octet-stream	etag:%22686cdc20-dffd%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.c2d59781.ttf	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_medium-webfont.c2d59781.ttf	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:59	139432/139432	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-db75%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.3e3385c9.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.3e3385c9.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:59	39264/39264	---M--	200	added ('OK')	application/octet-stream	etag:%22686cdc20-9960%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.679582ea.woff2	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.679582ea.woff2	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:20:59	56132/56132	---M--	200	added ('OK')	application/font-woff	etag:%22686cdc20-db44%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.b76fcbea.woff	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.b76fcbea.woff	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:21:00	139196/139196	---M-Z	200	added ('OK')	application/octet-stream	etag:%22686cdc20-db06%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.2083e555.ttf	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_light-webfont.2083e555.ttf	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
20:21:00	43398/43398	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22686cdc20-a986%22	https://www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold-webfont.342740b2.eot	C:/My%20Web%20Sites/wwt/www.walleniuswilhelmsen.com/build/fonts/nb_international_pro_bold-webfont.342740b2.eot	(from https://www.walleniuswilhelmsen.com/build/app.7801402a.css)
